threshold, precisionMatchings, recallMatchings, avgPrecisions, avgRecalls, d1, d2, d1d2
0.4, 0.6666667, 0.13043478, 0.76, 0.3704762, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig34
0.6, 0.8333333, 0.10869565, 0.95, 0.19642857, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig34
0.8, 0.8181818, 0.097826086, 0.95, 0.13392857, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig34
1, 0.8181818, 0.097826086, 0.95, 0.13392857, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig34
0, 0.082446806, 1.0, 0.081047624, 1.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, antonio_rinaldi/orig12
0.2, 0.11278196, 0.9677419, 0.12853615, 0.99444443, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, antonio_rinaldi/orig12
0.4, 0.36764705, 0.8064516, 0.45, 0.9285714, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, antonio_rinaldi/orig12
0.6, 0.5641026, 0.7096774, 0.5925926, 0.867284, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, antonio_rinaldi/orig12
0.8, 0.5833333, 0.4516129, 0.6666667, 0.7395833, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, antonio_rinaldi/orig12
1, 0.6666667, 0.38709676, 0.72727275, 0.67045456, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, antonio_rinaldi/orig12
0, 0.30422536, 0.9230769, 0.26307192, 0.9647058, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig13
0.2, 0.35179153, 0.9230769, 0.304, 0.9639999, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig13
0.4, 0.5857988, 0.84615386, 0.5342593, 0.9216049, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig13
0.6, 0.7927928, 0.75213677, 0.7580645, 0.8071684, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig13
